category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_pct_dv,saturated_fat,saturated_fat_pct_dv,trans_fat,cholesterol,cholesterol_pct_dv,sodium,sodium_pct_dv,carbohydrates,carbohydrates_pct_dv,dietary_fiber,dietary_fiber_pct_dv,sugars,protein,vitamin_a_pct_dv,vitamin_c_pct_dv,calcium_pct_dv,iron_pct_dv,serving_weight_g,calorie_density,high_sugar_spike,protein_100g,category_encoded,item_encoded
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),0.3887399463806971,430,0.4067796610169492,73,17.0,87,0.0,555,185,0.43333333333333335,65,0.3430656934306569,17,3,12,3,0.3218390804597701,15,2,15,25,0.3889789303079417,2.7509293680297398,No,10.408921933085502,1,17
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),0.4209115281501341,470,0.4406779661016949,80,18.0,90,0.0,555,185,0.4666666666666667,70,0.3795620437956204,19,4,17,3,0.3218390804597701,15,2,15,30,0.41166936790923825,2.8268551236749118,No,9.89399293286219,1,16
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),0.3351206434316354,330,0.3135593220338983,57,14.0,69,0.0,35,12,0.44166666666666665,66,0.3357664233576642,17,3,12,3,0.29885057471264365,0,2,10,15,0.39384116693679094,2.3529411764705883,No,9.558823529411764,1,19
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),0.36193029490616624,370,0.3474576271186441,63,14.0,72,0.0,35,12,0.4722222222222222,71,0.3722627737226277,18,4,17,4,0.29885057471264365,4,2,10,15,0.4165316045380875,2.4125874125874125,No,9.090909090909092,1,18
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),0.5764075067024129,510,0.4745762711864407,87,19.0,96,0.0,575,192,0.5972222222222222,90,0.781021897810219,37,6,23,17,0.41379310344827586,15,2,25,40,0.6337115072933549,2.5952380952380953,No,8.571428571428571,1,21
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),0.6085790884718499,540,0.5084745762711864,93,20.0,100,0.0,575,192,0.6277777777777778,94,0.8175182481751825,39,7,28,17,0.41379310344827586,15,2,30,40,0.6564019448946515,2.6497695852534564,No,8.294930875576037,1,20
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),0.5227882037533512,410,0.3898305084745763,70,16.0,78,0.0,55,19,0.6027777777777777,91,0.7737226277372263,37,6,23,17,0.40229885057471265,0,2,25,30,0.6385737439222042,2.3404255319148937,No,8.274231678486997,1,23
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),0.5549597855227882,450,0.423728813559322,77,16.0,81,0.0,55,19,0.6361111111111111,95,0.8102189781021898,38,7,28,18,0.40229885057471265,4,2,25,30,0.6612641815235007,2.402745995423341,No,8.009153318077804,1,22
Breakfast,Hotcakes,5.3 oz (151 g),0.17962466487935658,80,0.07627118644067797,13,2.0,9,0.0,20,7,0.1638888888888889,24,0.4087591240875912,20,3,10,14,0.09195402298850575,0,0,15,15,0.19773095623987033,2.3178807947019866,No,5.298013245033113,1,57
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),0.2707774798927614,210,0.2033898305084746,37,7.0,36,0.0,50,17,0.25833333333333336,39,0.41605839416058393,20,3,10,14,0.1724137931034483,0,0,15,15,0.26418152350081037,2.7083333333333335,No,7.8125,1,58
Breakfast,Sausage Burrito,3.9 oz (111 g),0.15281501340482576,150,0.13559322033898305,25,7.0,33,0.0,115,38,0.21944444444444444,33,0.16058394160583941,9,1,5,2,0.13793103448275862,10,2,15,15,0.13290113452188004,2.7027027027027026,No,10.81081081081081,1,111
Breakfast,Hash Brown,2 oz (56 g),0.07238605898123325,80,0.07627118644067797,14,1.5,6,0.0,0,0,0.08611111111111111,13,0.0802919708029197,5,2,6,0,0.011494252873563218,0,2,0,2,0.04376012965964344,2.6785714285714284,No,1.7857142857142856,1,52
Breakfast,Cinnamon Melts,4 oz (114 g),0.23860589812332442,170,0.16101694915254236,30,9.0,43,0.0,15,5,0.10277777777777777,15,0.4525547445255474,22,3,11,32,0.06896551724137931,4,0,6,15,0.1377633711507293,4.035087719298246,No,5.263157894736842,1,41
